Part Number,Qty Ordered,UM_Multiplier
MS-LNS-24D,8,1
TLX-SPACER,14,1
TLX-TK-BK,1.82,1
MTK-CONN,2,1
TLX-RC-BK,2,1
TLX-ED-BK,2,1
TLX-CP-WG,16,1
LDR24-96,2,1
 ,1,1
MISC,2,1
KLED-IW-SF,6,1
WP-L01C,6,1
C2-8DC-RPG,1,1
TRI-CH-ECL,1,1
TRI-CH-ECD,1,1
EX-G14-CL,1594.566,1
EX-USK-BK,1594.566,1
EX-CNT,3188.889,1
RV-SEAL,3188.16,1
CABLE-BK,797.283,1
ECD-BK,215,1
EX-SH,1635,1
T24/150-230,30,1
EX-TOOL,1,1
EX-OR-22,3188.889,1
EX-SCR,6377.778,1
EX-VI-WW,1594.566,1
EX-LSK-BK,1594.566,1
