Part Number,Qty Ordered,UM_Multiplier
MARK,0,1
GRX-EC,2,1
LDR24-192,2,1
WF-CL50,0.04,1
GRX-CON,2,1
SRP,2,1
EC-FL,4,1
ECL-WH,2,1
CABLE-CAT5-25,2,1
LC-GR-DP,2,1
LC-1CH-MULTI,2,1
LDR24-16,2,1
ENCL12124,2,1
EX-WR,200,1
GRX-EXT-3M,2,1
EX-SCR,600,1
EX-S14-CL,150,1
EX-OR-22,300,1
EX-LSK-BK,150,1
CABLE-BK,150,1
MARK,0,1
T24-300,1,1
GRX-Y-CON,2,1
GRX-LVR-SCREW,84,1
GRX-LVR,64,1
MARK,0,1
GRX-LVR-BK,16,1
GRX-2700-15D-1200,4,1
 ,0,1
 ,0,1
 ,0,1
EX-TK,20,1
EX-MDA-BK,150,1
EX-VI-WW,150,1
EX-USK-BK,150,1
RV-SEAL,300,1
EX-CNT,300,1
EX-LSK-BK,96,1
EX-CNT,192,1
ECD-BK,6,1
EX-MDA-BK,96,1
EX-WR,126,1
EX-TK,12,1
C2-96-24V,1,1
MARK,0,1
EX-SCR,384,1
EX-OR-22,192,1
EX-USK-BK,96,1
LOT,0,1
 ,1,1
CABLE-BK,96,1
EX-SPH-FR,96,1
EX-WW,96,1
RV-SEAL,192,1
ECD-BK,4,1
MARK,0,1
 ,-1,1
ECD-BK,4,1
 ,0,1
 ,0,1
EX-TOOL,2,1
ECD-BK,28,1
EX-SH,18,1
EX-OR-22,36,1
EX-SPH-CL,18,1
EX-VI-WW,36,1
 ,0,1
 ,0,1
CABLE-BK,485.588,1
EX-VI-WW,90,1
EX-USK-BK,90,1
EX-SH,180,1
RV-SEAL,180,1
EX-CNT,180,1
EX-SPH-CL,90,1
EX-SCR,360,1
EX-OR-22,180,1
EX-LSK-BK,90,1
CABLE-BK,90,1
EX-CNT,180,1
CABLE-BK,141.04,1
RV-SCREW,1147.24,1
RV-2700-120D,286.81,1
RV-ORING,286.81,1
RV-CONTACT,573.62,1
RV-SEAL,286.81,1
EX-VI-WW,90,1
EX-USK-BK,90,1
RV-LSKT,286.81,1
RV-USKT,286.81,1
 ,0,1
RV-SEAL,180,1
EX-SPH-CL,90,1
EX-SCR,360,1
EX-OR-22,180,1
EX-LSK-BK,90,1
CABLE-BK,180,1
 ,0,1
ECD-BK,28,1
EX-OR-22,332,1
EX-VI-WW,332,1
EX-SH,166,1
EX-TOOL,25,1
EX-VI-WW,1660,1
EX-SH,1660,1
ECD-BK,245,1
MARK,0,1
 ,1,1
EX-SPH-CL,1660,1
EX-OR-22,3320,1
ECD-BK,245,1
 ,0,1
CABLE-BK,1660,1
EX-SCR,6640,1
EX-USK-BK,1660,1
EX-CNT,3320,1
EX-LSK-BK,1660,1
RV-SEAL,3320,1
CABLE-BK,3215.38,1
 ,0,1
 ,0,1
EX-SPH-CL,166,1
EX-SPH-CL,168,1
EX-SH,9,1
ECD-BK,5,1
EX-OR-22,34,1
EX-VI-WW,34,1
EX-MD-BK,17,1
EX-TOOL,2,1
 ,0,1
EX-OR-22,18,1
 ,0,1
EX-SPH-CL,9,1
ECD-BK,12,1
MARK,0,1
 ,1,1
 ,0,1
 ,0,1
CABLE-BK,114.835,1
EX-OR-22,174,1
EX-SPH-CL,87,1
EX-MS-BK,34,1
RV-SEAL,174,1
EX-CNT,174,1
EX-SH,87,1
ECD-BK,5,1
 ,0,1
CABLE-BK,174,1
EX-VI-WW,87,1
EX-MD-BK,168,1
EX-MS-BK,336,1
EX-LSK-BK,87,1
EX-SCR,348,1
EX-USK-BK,87,1
EX-VI-WW,17,1
CABLE-BK,168,1
EX-SCR,672,1
EX-USK-BK,168,1
EX-CNT,336,1
EX-LSK-BK,168,1
RV-SEAL,336,1
EX-VI-WW,168,1
EX-OR-22,336,1
CABLE-BK,173.893,1
 ,0,1
 ,0,1
EX-SPH-CL,17,1
TLED-WW-HB,7800,1
WP-L01C,7800,1
MISC,14,1
EC-FL,540,1
HC-10/PLUG,540,1
TLED-WW-HB,77873.4,1
FLWG-160-HM,40750.02,1
HC-10/BOX-GSKT,135,1
WP-L01C,77873.4,1
EC-FL,540,1
 ,0,1
EX-LSK-BK,1357,1
RV-SEAL,2714,1
EX-SPH-CL,1357,1
CABLE-BK,1357,1
EX-OR-22,2714,1
 ,0,1
 ,0,1
EX-SPH-CL,136,1
EX-OR-22,272,1
EX-VI-WW,271,1
EX-SH,136,1
ECD-BK,100,1
EX-TOOL,10,1
 ,0,1
 ,0,1
EX-SPH-CL,595,1
CABLE-BK,505.274,1
EX-VI-WW,595,1
EX-MS-BK,119,1
ECD-BK,25,1
 ,0,1
 ,0,1
CABLE-BK,209.984,1
ECD-BK,16,1
 ,0,1
RVC-SPL,1,1
RV-AB,6,1
EX-VI-WW,119,1
EX-MD-BK,60,1
RVC-EC,3,1
ECD-BK,16,1
CABLE-BK,203.36,1
RVC-EC,32,1
ECD-BK,25,1
RVC-SPL,7,1
RV-AB,60,1
CABLE-BK,1312.4,1
RV-2700-SP,413.54,1
RV-CONTACT,827.08,1
RV-LSKT,413.54,1
RV-ORING,413.54,1
RV-SCREW,1654.16,1
RV-SEAL,413.54,1
RV-USKT,413.54,1
RV-CH-SV-2.4M,26.04,1
MARK,0,1
 ,1,1
EX-OR-22,1190,1
 ,0,1
EX-OR-22,120,1
EX-SPH-CL,60,1
 ,0,1
 ,0,1
RV-SEAL,1190,1
EX-LSK-BK,595,1
EX-CNT,1190,1
EX-USK-BK,595,1
EX-SH,1357,1
ECD-BK,100,1
EX-SCR,2380,1
CABLE-BK,595,1
EX-VI-WW,1357,1
EX-MD-BK,595,1
EX-MS-BK,1190,1
EX-SCR,5428,1
EX-USK-BK,1357,1
EX-CNT,2714,1
CABLE-BK,887,1
RV-LSKT,90,1
RVC-EC,6,1
EX-SPH-CL,55,1
ECD-BK,29,1
CABLE-BK,577.456,1
EX-OR-22,1090,1
 ,0,1
 ,0,1
 ,0,1
 ,0,1
 ,0,1
 ,0,1
 ,0,1
 ,0,1
EX-TOOL,13,1
 ,0,1
 ,0,1
EX-OR-22,1774,1
EX-SPH-CL,887,1
RV-SEAL,1774,1
EX-LSK-BK,887,1
EX-CNT,1774,1
EX-USK-BK,887,1
EX-SCR,3548,1
EX-SH,89,1
RVC-SPL,60,1
CABLE-BK,656.2,1
RV-AB,121,1
ECD-BK,3,1
RVC-SPL,3,1
RV-AB,12,1
 ,0,1
CABLE-BK,39.372,1
RV-CONTACT,180,1
RV-CH-SV-2.4M,3.78,1
RV-2700-SP,90,1
CABLE-BK,29.52,1
EX-OR-22,110,1
 ,0,1
EX-SCR,2180,1
EX-SPH-CL,545,1
EX-VI-WW,545,1
RV-SEAL,1090,1
EX-LSK-BK,545,1
EX-CNT,1090,1
EX-USK-BK,545,1
RVC-EC,1,1
CABLE-BK,545,1
ECD-BK,64,1
ECD-BK,50,1
EX-SH,887,1
ECD-BK,64,1
EX-VI-WW,177,1
EX-OR-22,178,1
EX-VI-WW,887,1
EX-MD-BK,545,1
EX-MS-BK,1090,1
EX-SPH-CL,89,1
ECD-BK,50,1
RVC-EC,100,1
RVC-EC,10,1
RV-AB,12,1
